seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
10001,12,12,1.0,334.325,4011.898,115,12,0,0.0598,
10002,13,13,1.0,347.466,4517.057,115,13,0,0.0692,
10003,16,16,1.0,305.239,4883.83,114,16,0,0.063,
10004,14,14,1.0,322.619,4516.663,113,14,0,0.0676,
10005,16,16,1.0,246.522,3944.35,94,16,0,0.083,
10006,11,11,1.0,371.607,4087.672,123,11,0,0.0498,
10007,12,12,1.0,344.657,4135.889,106,12,0,0.085,
10008,11,11,1.0,373.036,4103.399,113,11,0,0.0957,
10009,12,12,1.0,304.048,3648.57,108,12,0,0.0971,
10010,14,14,1.0,304.55,4263.698,105,14,0,0.0912,
10011,11,11,1.0,340.512,3745.631,130,11,0,0.0977,
10012,13,13,1.0,335.294,4358.827,101,13,0,0.0806,
10013,12,12,1.0,348.526,4182.309,118,12,0,0.0658,
10014,13,13,1.0,275.751,3584.762,106,13,0,0.0694,
10015,11,11,1.0,347.927,3827.202,108,11,0,0.0597,
10016,13,13,1.0,255.475,3321.178,109,13,0,0.0621,
10017,14,14,1.0,294.075,4117.056,100,14,0,0.0692,
10018,14,14,1.0,270.91,3792.735,99,14,0,0.0728,
10019,13,13,1.0,308.452,4009.88,113,13,0,0.06,
10020,15,15,1.0,281.671,4225.066,111,15,0,0.0798,
10021,14,14,1.0,290.875,4072.25,107,14,0,0.0779,
10022,15,15,1.0,262.153,3932.294,96,15,0,0.0745,
10023,15,15,1.0,301.024,4515.357,108,15,0,0.0655,
10024,11,11,1.0,316.747,3484.222,112,11,0,0.0606,
10025,13,13,1.0,313.622,4077.089,112,13,0,0.0616,
10026,14,14,1.0,280.526,3927.366,98,14,0,0.0689,
10027,11,11,1.0,330.877,3639.648,114,11,0,0.0417,
10028,12,12,1.0,306.47,3677.642,110,12,0,0.0575,
10029,11,11,1.0,296.723,3263.948,109,11,0,0.0513,
10030,14,14,1.0,296.659,4153.227,116,14,0,0.0694,
10031,12,12,1.0,318.656,3823.874,109,12,0,0.054,
10032,10,10,1.0,379.775,3797.749,123,10,0,0.0461,
10033,14,14,1.0,284.326,3980.564,105,14,0,0.0718,
10034,14,14,1.0,283.575,3970.049,103,14,0,0.0642,
10035,16,16,1.0,270.895,4334.315,102,16,0,0.0771,
10036,12,12,1.0,311.677,3740.123,123,12,0,0.0517,
10037,11,11,1.0,353.867,3892.542,114,11,0,0.0572,
10038,10,10,1.0,366.003,3660.029,128,10,0,0.0465,
10039,11,11,1.0,336.776,3704.534,107,11,0,0.0374,
10040,15,15,1.0,274.469,4117.041,105,15,0,0.0655,
10041,13,13,1.0,310.319,4034.143,107,13,0,0.051,
10042,12,12,1.0,316.827,3801.923,112,12,0,0.056,
10043,10,10,1.0,354.754,3547.538,116,10,0,0.0508,
10044,11,11,1.0,358.667,3945.335,111,11,0,0.0741,
10045,12,12,1.0,317.592,3811.1,123,12,0,0.0607,
10046,12,12,1.0,327.76,3933.119,119,12,0,0.0671,
10047,13,13,1.0,311.823,4053.696,111,13,0,0.1,
10048,15,15,1.0,278.633,4179.496,102,15,0,0.0698,
10049,10,10,1.0,391.321,3913.205,120,10,0,0.0388,
10050,11,11,1.0,318.887,3507.757,106,11,0,0.0645,
10051,12,12,1.0,316.83,3801.962,121,12,0,0.079,
10052,13,13,1.0,320.91,4171.824,111,13,0,0.0614,
10053,13,13,1.0,318.987,4146.828,122,13,0,0.0469,
10054,15,15,1.0,278.624,4179.366,109,15,0,0.0776,
10055,14,14,1.0,283.312,3966.366,112,14,0,0.0704,
10056,10,10,1.0,350.327,3503.274,112,10,0,0.0579,
10057,10,10,1.0,364.594,3645.939,115,10,0,0.0414,
10058,11,11,1.0,323.946,3563.404,109,11,0,0.0446,
10059,12,12,1.0,269.263,3231.154,102,12,0,0.0685,
10060,13,13,1.0,299.803,3897.439,107,13,0,0.0646,
10061,15,15,1.0,279.515,4192.726,107,15,0,0.1118,
10062,13,13,1.0,305.636,3973.268,107,13,0,0.0569,
10063,11,11,1.0,381.489,4196.378,114,11,0,0.059,
10064,16,16,1.0,233.259,3732.141,90,16,0,0.1421,
10065,16,16,1.0,255.808,4092.932,98,16,0,0.108,
10066,12,12,1.0,343.708,4124.493,116,12,0,0.0531,
10067,12,12,1.0,362.128,4345.538,120,12,0,0.0894,
10068,10,10,1.0,349.934,3499.338,119,10,0,0.0574,
10069,12,12,1.0,334.2,4010.394,116,12,0,0.0714,
10070,16,16,1.0,274.554,4392.871,98,16,0,0.0776,
10071,11,11,1.0,352.742,3880.157,122,11,0,0.058,
10072,16,16,1.0,292.792,4684.676,104,16,0,0.0838,
10073,15,15,1.0,259.683,3895.238,98,15,0,0.0892,
10074,10,10,1.0,375.171,3751.709,121,10,0,0.0576,
10075,14,14,1.0,278.919,3904.861,109,14,0,0.075,
10076,16,16,1.0,291.813,4669.003,102,16,0,0.0903,
10077,10,10,1.0,356.217,3562.172,112,10,0,0.0872,
10078,13,13,1.0,281.922,3664.986,112,13,0,0.0718,
10079,12,12,1.0,316.188,3794.253,103,12,0,0.0694,
10080,16,16,1.0,276.288,4420.609,95,16,0,0.1302,
10081,11,11,1.0,361.318,3974.493,118,11,0,0.0927,
10082,10,10,1.0,375.563,3755.626,118,10,0,0.0631,
10083,13,13,1.0,310.313,4034.069,107,13,0,0.0799,
10084,14,14,1.0,328.344,4596.821,110,14,0,0.091,
10085,14,14,1.0,314.262,4399.663,113,14,0,0.0859,
10086,10,10,1.0,407.16,4071.601,119,10,0,0.0643,
10087,15,15,1.0,289.939,4349.086,95,15,0,0.0688,
10088,10,10,1.0,421.436,4214.363,119,10,0,0.0739,
10089,16,16,1.0,306.865,4909.839,113,16,0,0.0907,
10090,15,15,1.0,292.694,4390.405,103,15,0,0.0803,
10091,12,12,1.0,292.468,3509.621,96,12,0,0.0552,
10092,13,13,1.0,321.16,4175.074,110,13,0,0.0717,
10093,10,10,1.0,380.859,3808.585,114,10,0,0.0518,
10094,15,15,1.0,247.696,3715.435,97,15,0,0.1173,
10095,10,10,1.0,329.377,3293.767,110,10,0,0.0603,
10096,12,12,1.0,335.141,4021.694,112,12,0,0.0717,
10097,10,10,1.0,363.662,3636.617,106,10,0,0.0585,
10098,15,15,1.0,268.714,4030.705,100,15,0,0.1059,
10099,12,12,1.0,319.067,3828.804,108,12,0,0.1225,
10100,15,15,1.0,259.04,3885.593,102,15,0,0.1366,
10101,15,15,1.0,271.723,4075.84,105,15,0,0.097,
10102,15,15,1.0,301.292,4519.384,118,15,0,0.0958,
10103,12,12,1.0,337.958,4055.492,115,12,0,0.0781,
10104,15,15,1.0,241.599,3623.985,94,15,0,0.0966,
10105,10,10,1.0,361.406,3614.056,131,10,0,0.0598,
10106,11,11,1.0,330.464,3635.103,111,11,0,0.0781,
10107,10,10,1.0,360.362,3603.621,129,10,0,0.0532,
10108,14,14,1.0,292.885,4100.391,106,14,0,0.096,
10109,14,14,1.0,306.306,4288.285,98,14,0,0.0909,
10110,13,13,1.0,293.296,3812.848,110,13,0,0.1083,
10111,11,11,1.0,374.085,4114.938,116,11,0,0.0615,
10112,10,10,1.0,395.076,3950.759,108,10,0,0.0703,
10113,15,15,1.0,289.945,4349.174,107,15,0,0.1028,
10114,10,10,1.0,355.256,3552.555,124,10,0,0.0777,
10115,14,14,1.0,310.154,4342.156,101,14,0,0.0666,
10116,16,16,1.0,290.566,4649.049,97,16,0,0.0855,
10117,13,13,1.0,307.868,4002.288,118,13,0,0.0908,
10118,12,12,1.0,351.165,4213.979,117,12,0,0.0763,
