seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,350.073,3850.803,118,11,0,0.0286,
2,16,16,1.0,303.672,4858.755,107,16,0,0.031,
3,11,11,1.0,356.413,3920.548,125,11,0,0.0331,
4,11,11,1.0,319.925,3519.174,106,11,0,0.0262,
5,14,14,1.0,305.941,4283.172,99,14,0,0.035,
6,16,16,1.0,267.067,4273.067,103,16,0,0.0499,
7,12,12,1.0,305.29,3663.477,103,12,0,0.0331,
8,11,11,1.0,379.507,4174.575,108,11,0,0.0292,
9,13,13,1.0,307.861,4002.198,108,13,0,0.0356,
10,14,14,1.0,272.297,3812.152,107,14,0,0.0423,
11,13,13,1.0,282.906,3677.777,106,13,0,0.0269,
12,13,13,1.0,324.105,4213.366,121,13,0,0.0344,
13,12,12,1.0,342.935,4115.223,120,12,0,0.0312,
14,10,10,1.0,367.34,3673.402,111,10,0,0.0245,
15,11,11,1.0,298.478,3283.254,106,11,0,0.036,
16,12,12,1.0,291.794,3501.53,107,12,0,0.0351,
17,14,14,1.0,309.035,4326.489,114,14,0,0.0415,
18,11,11,1.0,286.484,3151.32,116,11,0,0.033,
19,15,15,1.0,257.324,3859.858,99,15,0,0.0529,
20,15,15,1.0,279.619,4194.284,104,15,0,0.0636,
21,11,11,1.0,340.943,3750.376,120,11,0,0.0306,
22,11,11,1.0,347.567,3823.242,117,11,0,0.0312,
23,16,16,1.0,269.817,4317.072,102,16,0,0.0402,
24,15,15,1.0,320.199,4802.99,111,15,0,0.0398,
25,13,13,1.0,324.146,4213.892,107,13,0,0.0373,
26,15,15,1.0,272.681,4090.218,99,15,0,0.0384,
27,15,15,1.0,274.727,4120.906,100,15,0,0.0372,
28,10,10,1.0,364.753,3647.526,112,10,0,0.0274,
29,14,14,1.0,302.11,4229.546,115,14,0,0.0372,
30,14,14,1.0,316.348,4428.871,104,14,0,0.0355,
31,10,10,1.0,388.535,3885.35,112,10,0,0.0245,
32,10,10,1.0,369.494,3694.937,113,10,0,0.0276,
33,14,14,1.0,262.967,3681.534,94,14,0,0.0427,
34,14,14,1.0,309.605,4334.469,111,14,0,0.0391,
35,14,14,1.0,298.736,4182.298,114,14,0,0.0321,
36,12,12,1.0,332.254,3987.049,116,12,0,0.0318,
37,15,15,1.0,274.453,4116.797,95,15,0,0.037,
38,15,15,1.0,256.857,3852.848,101,15,0,0.0459,
39,11,11,1.0,339.229,3731.524,122,11,0,0.0201,
40,13,13,1.0,265.892,3456.594,111,13,0,0.0351,
41,13,13,1.0,306.793,3988.303,114,13,0,0.0332,
42,15,15,1.0,244.666,3669.994,101,15,0,0.0382,
43,10,10,1.0,344.704,3447.04,111,10,0,0.025,
44,13,13,1.0,314.233,4085.031,105,13,0,0.0303,
45,12,12,1.0,333.156,3997.872,116,12,0,0.0295,
46,10,10,1.0,346.117,3461.172,112,10,0,0.0246,
47,12,12,1.0,329.279,3951.35,109,12,0,0.0293,
48,14,14,1.0,318.98,4465.725,103,14,0,0.0318,
49,10,10,1.0,359.628,3596.282,121,10,0,0.0258,
50,13,13,1.0,322.846,4196.999,102,13,0,0.0325,
51,11,11,1.0,375.775,4133.528,122,11,0,0.0265,
52,12,12,1.0,333.693,4004.31,114,12,0,0.0304,
53,14,14,1.0,258.696,3621.739,104,14,0,0.0402,
54,11,11,1.0,393.718,4330.899,110,11,0,0.0325,
55,10,10,1.0,398.029,3980.294,112,10,0,0.0358,
56,16,16,1.0,259.348,4149.574,95,16,0,0.0529,
57,10,10,1.0,348.443,3484.425,116,10,0,0.0298,
58,14,14,1.0,266.464,3730.495,98,14,0,0.0363,
59,11,11,1.0,358.173,3939.9,124,11,0,0.0296,
60,12,12,1.0,333.105,3997.255,106,12,0,0.0372,
61,13,13,1.0,299.883,3898.485,116,13,0,0.0373,
62,14,14,1.0,296.341,4148.777,112,14,0,0.0406,
63,13,13,1.0,305.821,3975.667,115,13,0,0.0397,
64,13,13,1.0,318.983,4146.784,116,13,0,0.0407,
65,13,13,1.0,270.636,3518.262,99,13,0,0.0376,
66,10,10,1.0,337.443,3374.434,120,10,0,0.0261,
67,10,10,1.0,360.495,3604.945,115,10,0,0.0258,
68,15,15,1.0,276.886,4153.295,110,15,0,0.0348,
69,15,15,1.0,258.283,3874.252,102,15,0,0.0365,
70,10,10,1.0,380.771,3807.709,113,10,0,0.0307,
71,12,12,1.0,324.127,3889.523,110,12,0,0.0523,
72,10,10,1.0,329.038,3290.382,108,10,0,0.0331,
73,12,12,1.0,323.492,3881.902,100,12,0,0.04,
74,16,16,1.0,254.544,4072.699,97,16,0,0.0447,
75,13,13,1.0,283.765,3688.945,99,13,0,0.0366,
76,12,12,1.0,330.438,3965.252,110,12,0,0.0424,
77,16,16,1.0,288.145,4610.319,105,16,0,0.0519,
78,16,16,1.0,302.451,4839.217,103,16,0,0.0389,
79,11,11,1.0,314.119,3455.309,105,11,0,0.0367,
80,12,12,1.0,303.633,3643.6,103,12,0,0.0569,
81,14,14,1.0,324.513,4543.186,113,14,0,0.0481,
82,11,11,1.0,362.999,3992.988,123,11,0,0.0241,
83,13,13,1.0,320.096,4161.253,109,13,0,0.0299,
84,15,15,1.0,286.084,4291.266,105,15,0,0.0375,
85,11,11,1.0,316.923,3486.155,109,11,0,0.0301,
86,16,16,1.0,267.282,4276.506,101,16,0,0.0469,
87,11,11,1.0,363.163,3994.797,114,11,0,0.0349,
88,13,13,1.0,269.357,3501.647,99,13,0,0.0351,
89,10,10,1.0,359.194,3591.937,117,10,0,0.0438,
90,11,11,1.0,368.852,4057.37,112,11,0,0.0292,
91,10,10,1.0,374.781,3747.814,117,10,0,0.026,
92,13,13,1.0,307.912,4002.855,115,13,0,0.028,
93,16,16,1.0,290.533,4648.522,94,16,0,0.0404,
94,14,14,1.0,309.481,4332.736,114,14,0,0.0303,
95,16,16,1.0,267.175,4274.804,97,16,0,0.0314,
96,12,12,1.0,324.124,3889.483,104,12,0,0.0346,
97,11,11,1.0,324.592,3570.515,107,11,0,0.0283,
98,12,12,1.0,336.274,4035.286,114,12,0,0.0351,
99,13,13,1.0,294.477,3828.197,97,13,0,0.0391,
