seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,425.399,4679.391,128,11,0,0.0712,
2,16,16,1.0,299.419,4790.706,125,16,0,0.0891,
3,11,11,1.0,380.11,4181.213,153,11,0,0.0971,
4,11,11,1.0,362.034,3982.379,135,11,0,0.0748,
5,14,14,1.0,371.775,5204.85,126,14,0,0.0844,
6,16,16,1.0,315.014,5040.225,119,16,0,0.098,
7,12,12,1.0,365.892,4390.707,138,12,0,0.1276,
8,11,11,1.0,425.738,4683.114,135,11,0,0.0913,
9,13,13,1.0,344.556,4479.232,127,13,0,0.0877,
10,14,14,1.0,357.515,5005.214,124,14,0,0.0865,
11,13,13,1.0,366.449,4763.842,122,13,0,0.0668,
12,13,13,1.0,354.646,4610.398,141,13,0,0.0961,
13,12,12,1.0,367.221,4406.656,138,12,0,0.1009,
14,10,10,1.0,441.064,4410.644,135,10,0,0.0816,
15,11,11,1.0,380.504,4185.54,126,11,0,0.0746,
16,12,12,1.0,380.374,4564.482,136,12,0,0.0702,
17,14,14,1.0,359.223,5029.126,144,14,0,0.1025,
18,11,11,1.0,370.304,4073.341,142,11,0,0.0971,
19,15,15,1.0,295.809,4437.138,125,15,0,0.0796,
20,15,15,1.0,312.514,4687.714,128,15,0,0.0938,
21,11,11,1.0,378.845,4167.3,134,11,0,0.0736,
22,11,11,1.0,404.34,4447.74,128,11,0,0.0982,
23,16,16,1.0,293.036,4688.57,136,16,0,0.1129,
24,15,15,1.0,326.816,4902.241,144,15,0,0.124,
25,13,13,1.0,344.203,4474.645,126,13,0,0.0759,
26,15,15,1.0,344.357,5165.353,114,15,0,0.0727,
27,15,15,1.0,299.475,4492.132,134,15,0,0.0931,
28,10,10,1.0,435.344,4353.435,133,10,0,0.1094,
29,14,14,1.0,351.972,4927.614,140,14,0,0.1118,
30,14,14,1.0,344.105,4817.464,131,14,0,0.0896,
31,10,10,1.0,433.074,4330.737,135,10,0,0.0779,
32,10,10,1.0,385.843,3858.425,132,10,0,0.0781,
33,14,14,1.0,350.214,4902.993,128,14,0,0.086,
34,14,14,1.0,322.965,4521.506,136,14,0,0.0879,
35,14,14,1.0,361.893,5066.508,126,14,0,0.086,
36,12,12,1.0,387.917,4654.999,137,12,0,0.0796,
37,15,15,1.0,348.195,5222.932,132,15,0,0.0869,
38,15,15,1.0,330.039,4950.591,128,15,0,0.0946,
39,11,11,1.0,370.738,4078.122,138,11,0,0.089,
40,13,13,1.0,326.682,4246.865,145,13,0,0.1014,
41,13,13,1.0,345.437,4490.679,133,13,0,0.079,
42,15,15,1.0,314.928,4723.915,111,15,0,0.0844,
43,10,10,1.0,402.271,4022.713,135,10,0,0.0833,
44,13,13,1.0,386.22,5020.854,131,13,0,0.0856,
45,12,12,1.0,380.113,4561.361,134,12,0,0.0736,
46,10,10,1.0,412.185,4121.849,129,10,0,0.0667,
47,12,12,1.0,386.703,4640.438,133,12,0,0.0779,
48,14,14,1.0,339.637,4754.914,133,14,0,0.0927,
49,10,10,1.0,380.673,3806.73,147,10,0,0.0979,
50,13,13,1.0,375.081,4876.055,130,13,0,0.0951,
51,11,11,1.0,375.798,4133.783,138,11,0,0.0996,
52,12,12,1.0,373.817,4485.804,137,12,0,0.0746,
53,14,14,1.0,342.375,4793.253,131,14,0,0.0896,
54,11,11,1.0,386.757,4254.323,131,11,0,0.0813,
55,10,10,1.0,370.221,3702.212,141,10,0,0.0691,
56,16,16,1.0,304.932,4878.905,120,16,0,0.0905,
57,10,10,1.0,437.515,4375.153,139,10,0,0.085,
58,14,14,1.0,329.243,4609.398,114,14,0,0.0687,
59,11,11,1.0,383.459,4218.052,151,11,0,0.0733,
60,12,12,1.0,388.164,4657.963,138,12,0,0.0714,
61,13,13,1.0,316.742,4117.642,134,13,0,0.0661,
62,14,14,1.0,310.891,4352.468,144,14,0,0.101,
63,13,13,1.0,355.442,4620.752,134,13,0,0.0917,
64,13,13,1.0,350.616,4558.007,133,13,0,0.1024,
65,13,13,1.0,347.694,4520.023,131,13,0,0.1217,
66,10,10,1.0,393.99,3939.905,141,10,0,0.0879,
67,10,10,1.0,428.066,4280.657,139,10,0,0.0675,
68,15,15,1.0,311.251,4668.761,136,15,0,0.081,
69,15,15,1.0,312.914,4693.709,129,15,0,0.0929,
70,10,10,1.0,423.585,4235.851,140,10,0,0.0784,
71,12,12,1.0,365.431,4385.169,133,12,0,0.0778,
72,10,10,1.0,425.226,4252.263,136,10,0,0.0846,
73,12,12,1.0,393.788,4725.456,126,12,0,0.0875,
74,16,16,1.0,313.77,5020.324,118,16,0,0.0963,
75,13,13,1.0,369.766,4806.957,137,13,0,0.1159,
76,12,12,1.0,389.86,4678.323,133,12,0,0.0794,
77,16,16,1.0,343.615,5497.837,135,16,0,0.1004,
