seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,761.223,8373.449,348,27,16,0.7305,
2,16,16,1.0,518.375,8293.993,223,26,10,0.6195,
3,11,11,1.0,672.688,7399.573,321,13,2,0.6029,
4,11,11,1.0,697.456,7672.012,329,11,0,0.6591,
5,14,14,1.0,582.479,8154.701,238,20,6,0.7314,
6,16,16,1.0,576.553,9224.842,240,31,15,0.7123,
7,12,12,1.0,641.433,7697.2,311,24,12,0.5719,
8,11,11,1.0,687.213,7559.345,297,22,11,0.9534,
9,13,13,1.0,596.489,7754.356,286,27,14,0.8479,
10,14,14,1.0,611.446,8560.239,258,20,6,0.7138,
11,13,13,1.0,633.371,8233.826,276,34,21,0.8115,
12,13,13,1.0,633.443,8234.765,268,26,13,0.7953,
13,12,12,1.0,692.33,8307.965,354,34,22,0.9358,
14,10,10,1.0,724.214,7242.14,370,10,0,0.6055,
15,11,11,1.0,749.662,8246.281,322,26,15,0.6026,
16,12,12,1.0,698.949,8387.393,357,21,9,0.5056,
17,14,14,1.0,561.395,7859.526,268,16,2,0.5097,
18,11,11,1.0,654.315,7197.467,278,12,1,0.567,
19,15,15,1.0,514.565,7718.482,243,30,15,0.6084,
20,15,15,1.0,540.574,8108.605,247,22,7,0.5817,
21,11,11,1.0,705.874,7764.615,322,24,13,0.5658,
22,11,11,1.0,731.972,8051.696,313,16,5,0.8377,
23,16,16,1.0,524.147,8386.35,219,34,18,0.6172,
24,15,15,1.0,523.48,7852.206,254,20,5,0.4785,
25,13,13,1.0,597.425,7766.528,304,18,5,0.5032,
26,15,15,1.0,565.571,8483.569,239,30,15,0.7684,
27,15,15,1.0,575.849,8637.741,267,26,11,0.6144,
28,10,10,1.0,792.196,7921.957,329,34,24,0.9052,
29,14,14,1.0,619.588,8674.229,286,21,7,0.4628,
30,14,14,1.0,611.977,8567.674,271,19,5,0.665,
31,10,10,1.0,779.192,7791.92,353,31,21,0.8546,
32,10,10,1.0,816.204,8162.035,352,20,10,0.6299,
33,14,14,1.0,563.69,7891.657,244,26,12,0.7468,
34,14,14,1.0,554.561,7763.856,278,25,11,0.5936,
35,14,14,1.0,552.025,7728.349,267,18,4,0.5938,
36,12,12,1.0,579.564,6954.768,308,16,4,0.7486,
37,15,15,1.0,577.042,8655.625,252,18,3,0.6023,
38,15,15,1.0,582.329,8734.936,225,20,5,0.5364,
39,11,11,1.0,800.159,8801.749,367,17,6,0.5453,
40,13,13,1.0,617.064,8021.829,281,23,10,0.4562,
41,13,13,1.0,653.877,8500.402,289,18,5,0.5972,
42,15,15,1.0,474.481,7117.208,223,15,0,0.593,
43,10,10,1.0,811.326,8113.259,337,13,3,0.6687,
44,13,13,1.0,657.89,8552.571,276,35,22,0.6428,
45,12,12,1.0,675.422,8105.065,314,25,13,0.6235,
46,10,10,1.0,731.078,7310.783,343,13,3,0.5866,
47,12,12,1.0,619.984,7439.806,285,19,7,0.8373,
48,14,14,1.0,601.151,8416.121,290,31,17,0.7623,
49,10,10,1.0,736.204,7362.043,332,14,4,0.6355,
50,13,13,1.0,577.973,7513.649,248,15,2,0.6778,
51,11,11,1.0,746.414,8210.559,369,12,1,0.6888,
52,12,12,1.0,685.629,8227.544,313,29,17,0.9075,
53,14,14,1.0,574.494,8042.912,283,32,18,0.8053,
54,11,11,1.0,696.487,7661.36,350,23,12,0.7547,
55,10,10,1.0,797.622,7976.216,339,15,5,0.7046,
56,16,16,1.0,492.223,7875.568,220,26,10,0.7581,
57,10,10,1.0,787.794,7877.94,314,24,14,0.9771,
58,14,14,1.0,575.129,8051.807,243,31,17,0.7143,
59,11,11,1.0,692.296,7615.258,324,12,1,0.8961,
60,12,12,1.0,661.091,7933.096,322,26,14,1.1058,
61,13,13,1.0,620.609,8067.912,311,20,7,0.8492,
62,14,14,1.0,597.115,8359.615,285,17,3,0.5323,
