seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,697.336,7670.692,332,30,19,0.4168,
2,16,16,1.0,487.505,7800.077,250,35,19,0.2471,
3,11,11,1.0,598.717,6585.884,333,12,1,0.4454,
4,11,11,1.0,689.298,7582.274,328,12,1,0.6037,
5,14,14,1.0,564.264,7899.695,271,32,18,0.3916,
6,16,16,1.0,461.396,7382.34,222,33,17,0.3218,
7,12,12,1.0,573.453,6881.433,295,26,14,0.415,
8,11,11,1.0,666.723,7333.953,313,27,16,0.3982,
9,13,13,1.0,615.151,7996.962,305,32,19,0.369,
10,14,14,1.0,578.826,8103.568,311,33,19,0.3475,
11,13,13,1.0,645.667,8393.668,273,43,30,0.3868,
12,13,13,1.0,611.498,7949.471,309,30,17,0.3197,
13,12,12,1.0,652.746,7832.95,331,34,22,0.3289,
14,10,10,1.0,770.635,7706.353,341,18,8,0.5203,
15,11,11,1.0,703.102,7734.127,314,31,20,0.4528,
16,12,12,1.0,643.243,7718.91,319,26,14,0.4424,
17,14,14,1.0,512.001,7168.018,280,21,7,0.4049,
18,11,11,1.0,657.921,7237.129,312,17,6,0.5029,
19,15,15,1.0,476.766,7151.497,246,34,19,0.2932,
20,15,15,1.0,484.174,7262.608,261,23,8,0.2919,
21,11,11,1.0,710.956,7820.512,355,37,26,0.6465,
22,11,11,1.0,729.211,8021.317,335,24,13,0.413,
23,16,16,1.0,507.683,8122.927,242,31,15,0.2223,
24,15,15,1.0,493.109,7396.641,281,31,16,0.322,
25,13,13,1.0,580.964,7552.532,318,21,8,0.4183,
26,15,15,1.0,533.362,8000.429,265,38,23,0.2766,
27,15,15,1.0,532.574,7988.607,280,37,22,0.2744,
28,10,10,1.0,813.223,8132.226,371,21,11,0.4236,
29,14,14,1.0,508.903,7124.647,269,21,7,0.3032,
30,14,14,1.0,547.507,7665.103,264,24,10,0.338,
31,10,10,1.0,751.333,7513.327,357,21,11,0.3636,
32,10,10,1.0,692.11,6921.095,355,16,6,0.469,
33,14,14,1.0,518.982,7265.75,258,30,16,0.3395,
34,14,14,1.0,573.651,8031.119,280,27,13,0.3137,
35,14,14,1.0,517.742,7248.386,283,25,11,0.2989,
36,12,12,1.0,570.705,6848.456,314,16,4,0.5063,
37,15,15,1.0,483.182,7247.734,252,21,6,0.2945,
38,15,15,1.0,524.113,7861.694,255,46,31,0.3636,
39,11,11,1.0,677.158,7448.735,388,27,16,0.3976,
40,13,13,1.0,602.439,7831.708,292,23,10,0.3467,
41,13,13,1.0,602.209,7828.717,313,28,15,0.3874,
42,15,15,1.0,432.198,6482.973,211,22,7,0.2627,
43,10,10,1.0,749.513,7495.126,346,15,5,0.3683,
44,13,13,1.0,569.344,7401.473,281,32,19,0.3,
45,12,12,1.0,589.957,7079.479,335,26,14,0.345,
46,10,10,1.0,664.241,6642.412,342,12,2,0.4013,
47,12,12,1.0,627.328,7527.939,322,21,9,0.3397,
48,14,14,1.0,524.86,7348.044,250,31,17,0.3056,
49,10,10,1.0,740.335,7403.348,320,18,8,0.4281,
50,13,13,1.0,547.057,7111.739,274,15,2,0.3285,
51,11,11,1.0,719.997,7919.966,395,23,12,0.3369,
52,12,12,1.0,647.783,7773.4,321,27,15,0.3126,
53,14,14,1.0,513.364,7187.102,267,22,8,0.294,
54,11,11,1.0,693.958,7633.539,338,29,18,0.4307,
55,10,10,1.0,795.133,7951.33,370,31,21,0.6857,
56,16,16,1.0,486.583,7785.328,254,30,14,0.3142,
57,10,10,1.0,730.59,7305.896,331,28,18,0.4843,
58,14,14,1.0,592.528,8295.39,276,40,26,0.3661,
59,11,11,1.0,649.151,7140.659,345,12,1,0.6033,
60,12,12,1.0,664.228,7970.738,340,29,17,0.4499,
61,13,13,1.0,550.064,7150.83,320,25,12,0.4407,
62,14,14,1.0,599.178,8388.492,319,28,14,0.3615,
63,13,13,1.0,627.617,8159.018,344,30,17,0.3055,
64,13,13,1.0,616.555,8015.218,324,44,31,0.311,
65,13,13,1.0,602.576,7833.488,303,23,10,0.3981,
66,10,10,1.0,724.028,7240.28,350,20,10,0.3551,
67,10,10,1.0,720.769,7207.687,341,23,13,0.6291,
68,15,15,1.0,507.958,7619.377,289,36,21,0.2867,
69,15,15,1.0,479.723,7195.85,237,21,6,0.2869,
70,10,10,1.0,745.015,7450.146,362,17,7,0.6664,
71,12,12,1.0,594.581,7134.978,298,22,10,0.416,
72,10,10,1.0,739.151,7391.508,359,24,14,0.4006,
73,12,12,1.0,675.098,8101.173,285,24,12,0.2623,
74,16,16,1.0,551.3,8820.802,229,27,11,0.2055,
75,13,13,1.0,580.407,7545.296,297,28,15,0.3102,
76,12,12,1.0,626.321,7515.852,291,16,4,0.3425,
77,16,16,1.0,476.138,7618.215,283,27,11,0.2224,
78,16,16,1.0,464.858,7437.722,314,37,21,0.305,
79,11,11,1.0,674.106,7415.163,314,17,6,0.4435,
80,12,12,1.0,629.913,7558.958,292,20,8,0.4729,
81,14,14,1.0,489.873,6858.228,261,27,13,0.439,
82,11,11,1.0,743.162,8174.783,370,23,12,0.4544,
83,13,13,1.0,602.966,7838.561,320,31,18,0.4067,
84,15,15,1.0,551.983,8279.738,277,18,3,0.2961,
85,11,11,1.0,716.379,7880.172,347,28,17,0.5327,
86,16,16,1.0,511.139,8178.225,268,34,18,0.3983,
87,11,11,1.0,736.764,8104.409,373,27,16,0.4702,
88,13,13,1.0,548.383,7128.977,265,33,20,0.3647,
89,10,10,1.0,681.921,6819.208,347,14,4,0.4267,
90,11,11,1.0,723.319,7956.512,356,25,14,0.3501,
91,10,10,1.0,807.508,8075.084,371,23,13,0.3924,
92,13,13,1.0,613.271,7972.525,345,33,20,0.387,
93,16,16,1.0,491.542,7864.678,245,35,19,0.233,
94,14,14,1.0,529.646,7415.044,294,25,11,0.4294,
95,16,16,1.0,461.185,7378.966,258,27,11,0.2247,
96,12,12,1.0,613.385,7360.617,286,25,13,0.3591,
97,11,11,1.0,697.808,7675.884,335,28,17,0.4509,
98,12,12,1.0,622.857,7474.284,347,25,13,0.478,
99,13,13,1.0,613.021,7969.273,317,52,39,0.3232,
100,11,11,1.0,670.995,7380.943,333,28,17,0.3917,
101,14,14,1.0,553.641,7750.971,282,41,27,0.4406,
102,11,11,1.0,645.294,7098.232,357,19,8,0.4979,
103,15,15,1.0,490.551,7358.27,241,28,13,0.2731,
104,10,10,1.0,725.782,7257.822,316,22,12,0.4697,
105,14,14,1.0,545.731,7640.228,299,34,20,0.316,
106,15,15,1.0,505.247,7578.702,299,37,22,0.3943,
107,11,11,1.0,644.214,7086.351,345,20,9,0.4772,
108,11,11,1.0,698.791,7686.699,363,23,12,0.473,
109,12,12,1.0,667.563,8010.76,341,17,5,0.3157,
110,13,13,1.0,609.785,7927.202,297,53,40,0.2533,
111,16,16,1.0,483.962,7743.388,254,30,14,0.212,
112,13,13,1.0,515.506,6701.583,277,23,10,0.2875,
113,10,10,1.0,766.411,7664.107,341,23,13,0.3734,
114,11,11,1.0,683.42,7517.615,307,20,9,0.3149,
115,12,12,1.0,586.782,7041.378,328,18,6,0.3735,
116,16,16,1.0,491.618,7865.885,231,41,25,0.2321,
117,11,11,1.0,696.746,7664.205,321,26,15,0.3564,
118,15,15,1.0,489.522,7342.836,262,24,9,0.2551,
119,12,12,1.0,591.293,7095.517,302,16,4,0.3013,
120,14,14,1.0,493.342,6906.786,273,23,9,0.2532,
121,10,10,1.0,763.286,7632.857,371,19,9,0.3582,
122,14,14,1.0,525.858,7362.006,270,31,17,0.2725,
123,10,10,1.0,745.595,7455.947,368,13,3,0.437,
124,12,12,1.0,635.125,7621.501,336,24,12,0.348,
125,11,11,1.0,632.563,6958.19,314,14,3,0.4291,
126,14,14,1.0,582.037,8148.516,294,43,29,0.2895,
127,10,10,1.0,706.597,7065.969,350,21,11,0.4181,
128,16,16,1.0,492.097,7873.557,245,24,8,0.2374,
129,14,14,1.0,524.435,7342.087,286,24,10,0.2354,
130,14,14,1.0,594.819,8327.469,312,35,21,0.2591,
131,12,12,1.0,643.635,7723.62,370,25,13,0.3955,
132,13,13,1.0,555.366,7219.752,304,24,11,0.2887,
133,13,13,1.0,616.625,8016.131,299,38,25,0.3238,
134,13,13,1.0,559.885,7278.508,292,30,17,0.3443,
135,15,15,1.0,535.765,8036.468,295,28,13,0.2584,
136,14,14,1.0,570.514,7987.2,295,33,19,0.4297,
137,10,10,1.0,708.781,7087.806,361,14,4,0.476,
138,11,11,1.0,712.312,7835.429,396,15,4,0.4415,
139,10,10,1.0,759.484,7594.837,329,22,12,0.4227,
140,16,16,1.0,480.185,7682.954,236,33,17,0.2125,
141,14,14,1.0,582.127,8149.778,264,32,18,0.2633,
142,14,14,1.0,515.471,7216.596,283,26,12,0.3188,
143,11,11,1.0,702.261,7724.876,349,24,13,0.6507,
144,13,13,1.0,612.487,7962.336,312,33,20,0.3496,
145,16,16,1.0,504.761,8076.176,274,19,3,0.2255,
146,11,11,1.0,687.569,7563.259,355,23,12,0.3198,
147,14,14,1.0,481.172,6736.41,266,19,5,0.2839,
148,13,13,1.0,569.06,7397.78,296,22,9,0.3279,
149,10,10,1.0,725.814,7258.143,345,16,6,0.3627,
150,16,16,1.0,467.443,7479.082,275,33,17,0.2317,
151,15,15,1.0,530.477,7957.155,280,31,16,0.2932,
152,16,16,1.0,479.228,7667.647,267,32,16,0.2477,
153,13,13,1.0,585.621,7613.068,325,19,6,0.2745,
154,11,11,1.0,667.213,7339.345,349,21,10,0.3834,
155,14,14,1.0,541.037,7574.518,314,33,19,0.2675,
156,13,13,1.0,606.838,7888.89,348,42,29,0.2913,
157,14,14,1.0,611.99,8567.855,298,53,39,0.2809,
