seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,709.223,7801.451,326,30,19,0.3791,
2,16,16,1.0,493.345,7893.524,249,37,21,0.2641,
3,11,11,1.0,607.965,6687.614,333,11,0,0.3848,
4,11,11,1.0,657.726,7234.988,327,12,1,0.4199,
5,14,14,1.0,572.856,8019.983,272,31,17,0.3283,
6,16,16,1.0,471.108,7537.722,223,31,15,0.3414,
7,12,12,1.0,582.828,6993.941,296,26,14,0.4353,
8,11,11,1.0,669.544,7364.981,306,25,14,0.5066,
9,13,13,1.0,617.104,8022.357,303,30,17,0.4514,
10,14,14,1.0,562.744,7878.42,313,40,26,0.4394,
11,13,13,1.0,614.805,7992.469,272,42,29,0.3304,
12,13,13,1.0,633.843,8239.953,311,32,19,0.4413,
13,12,12,1.0,648.783,7785.396,328,30,18,0.393,
14,10,10,1.0,783.753,7837.532,342,19,9,0.4761,
15,11,11,1.0,726.986,7996.85,318,32,21,0.5172,
16,12,12,1.0,666.451,7997.418,325,34,22,0.4599,
17,14,14,1.0,506.218,7087.051,279,20,6,0.409,
18,11,11,1.0,665.342,7318.763,312,17,6,0.4628,
19,15,15,1.0,512.263,7683.939,251,38,23,0.3502,
20,15,15,1.0,500.123,7501.842,259,24,9,0.2614,
21,11,11,1.0,705.946,7765.405,352,35,24,0.7259,
22,11,11,1.0,722.917,7952.082,343,26,15,0.5723,
23,16,16,1.0,467.974,7487.59,248,32,16,0.2918,
24,15,15,1.0,497.818,7467.274,279,25,10,0.3436,
25,13,13,1.0,589.808,7667.499,319,25,12,0.4066,
26,15,15,1.0,516.147,7742.202,261,21,6,0.3109,
27,15,15,1.0,535.373,8030.596,281,37,22,0.3326,
28,10,10,1.0,824.056,8240.563,371,21,11,0.5052,
29,14,14,1.0,524.766,7346.722,277,18,4,0.2848,
30,14,14,1.0,570.16,7982.234,269,30,16,0.3448,
31,10,10,1.0,778.89,7788.905,360,26,16,0.4243,
32,10,10,1.0,709.377,7093.775,357,16,6,0.438,
33,14,14,1.0,489.439,6852.139,234,30,16,0.3474,
34,14,14,1.0,569.94,7979.162,275,24,10,0.307,
35,14,14,1.0,526.806,7375.291,284,27,13,0.331,
36,12,12,1.0,579.719,6956.622,315,18,6,0.42,
37,15,15,1.0,481.324,7219.864,250,18,3,0.3202,
38,15,15,1.0,530.187,7952.81,255,46,31,0.2676,
39,11,11,1.0,692.844,7621.283,387,23,12,0.4739,
40,13,13,1.0,616.053,8008.69,292,23,10,0.4282,
41,13,13,1.0,605.728,7874.458,308,27,14,0.3583,
42,15,15,1.0,437.575,6563.624,210,22,7,0.2848,
43,10,10,1.0,760.005,7600.049,347,15,5,0.4093,
44,13,13,1.0,571.637,7431.282,281,31,18,0.3324,
45,12,12,1.0,619.162,7429.949,342,28,16,0.3952,
46,10,10,1.0,723.271,7232.711,347,15,5,0.479,
47,12,12,1.0,639.099,7669.191,325,21,9,0.4482,
48,14,14,1.0,564.399,7901.584,250,33,19,0.311,
49,10,10,1.0,750.186,7501.861,327,23,13,0.4878,
50,13,13,1.0,564.308,7336.004,279,20,7,0.4139,
51,11,11,1.0,729.066,8019.728,400,28,17,0.3715,
52,12,12,1.0,632.086,7585.037,318,19,7,0.3767,
53,14,14,1.0,517.839,7249.746,266,23,9,0.3735,
54,11,11,1.0,707.643,7784.071,339,29,18,0.6025,
55,10,10,1.0,786.611,7866.112,337,24,14,0.4927,
56,16,16,1.0,511.765,8188.234,260,35,19,0.3181,
57,10,10,1.0,746.156,7461.555,326,26,16,0.5017,
58,14,14,1.0,599.79,8397.064,277,38,24,0.4028,
59,11,11,1.0,657.731,7235.039,344,12,1,0.4727,
60,12,12,1.0,673.287,8079.447,333,29,17,0.4701,
61,13,13,1.0,567.805,7381.469,320,25,12,0.4033,
62,14,14,1.0,602.406,8433.683,317,26,12,0.327,
63,13,13,1.0,633.233,8232.033,341,30,17,0.3549,
64,13,13,1.0,620.46,8065.983,323,45,32,0.3564,
65,13,13,1.0,603.931,7851.108,301,22,9,0.5684,
66,10,10,1.0,731.434,7314.336,347,21,11,0.4507,
67,10,10,1.0,754.314,7543.14,346,30,20,0.6936,
68,15,15,1.0,514.921,7723.816,289,36,21,0.3075,
69,15,15,1.0,485.385,7280.768,236,21,6,0.332,
70,10,10,1.0,740.458,7404.578,363,13,3,0.7379,
71,12,12,1.0,583.15,6997.799,293,15,3,0.4387,
72,10,10,1.0,748.231,7482.309,360,22,12,0.4711,
73,12,12,1.0,684.51,8214.115,286,23,11,0.4817,
74,16,16,1.0,557.889,8926.223,228,27,11,0.3315,
75,13,13,1.0,581.938,7565.19,296,27,14,0.4723,
76,12,12,1.0,634.884,7618.607,292,16,4,0.4524,
77,16,16,1.0,486.843,7789.496,285,33,17,0.2957,
78,16,16,1.0,470.683,7530.921,311,35,19,0.2886,
79,11,11,1.0,686.303,7549.337,315,18,7,0.4797,
80,12,12,1.0,671.804,8061.649,303,28,16,0.4357,
81,14,14,1.0,488.708,6841.916,255,22,8,0.3185,
82,11,11,1.0,754.542,8299.967,373,25,14,0.4659,
83,13,13,1.0,559.052,7267.68,311,17,4,0.4365,
84,15,15,1.0,558.832,8382.476,276,20,5,0.3459,
85,11,11,1.0,725.622,7981.838,347,28,17,0.4993,
86,16,16,1.0,519.527,8312.426,271,34,18,0.3006,
87,11,11,1.0,703.061,7733.671,364,19,8,0.4357,
88,13,13,1.0,524.744,6821.669,256,25,12,0.3906,
89,10,10,1.0,703.192,7031.919,346,17,7,0.6211,
90,11,11,1.0,733.236,8065.591,357,22,11,0.4256,
91,10,10,1.0,773.485,7734.845,370,20,10,0.468,
92,13,13,1.0,624.944,8124.268,347,35,22,0.5323,
93,16,16,1.0,484.601,7753.611,237,27,11,0.3428,
94,14,14,1.0,564.462,7902.473,285,34,20,0.3574,
95,16,16,1.0,463.928,7422.844,261,27,11,0.3094,
96,12,12,1.0,621.054,7452.65,288,24,12,0.3969,
97,11,11,1.0,706.895,7775.843,335,28,17,0.4631,
98,12,12,1.0,608.104,7297.248,345,20,8,0.4841,
99,13,13,1.0,618.303,8037.941,315,50,37,0.5106,
100,11,11,1.0,679.544,7474.984,333,28,17,0.5522,
101,14,14,1.0,559.666,7835.33,281,39,25,0.4555,
102,11,11,1.0,646.454,7110.999,367,19,8,0.5752,
103,15,15,1.0,536.281,8044.217,247,39,24,0.3031,
104,10,10,1.0,734.869,7348.691,316,22,12,0.4725,
105,14,14,1.0,516.988,7237.837,285,16,2,0.3586,
106,15,15,1.0,504.749,7571.239,297,38,23,0.2875,
107,11,11,1.0,703.545,7738.994,344,21,10,0.4888,
108,11,11,1.0,706.214,7768.356,361,24,13,0.6164,
109,12,12,1.0,671.947,8063.369,340,17,5,0.3986,
110,13,13,1.0,605.871,7876.32,294,49,36,0.3477,
111,16,16,1.0,485.409,7766.548,253,28,12,0.3224,
112,13,13,1.0,515.157,6697.04,274,17,4,0.3992,
113,10,10,1.0,770.78,7707.804,339,24,14,0.4205,
114,11,11,1.0,692.493,7617.424,307,20,9,0.3946,
115,12,12,1.0,636.087,7633.049,323,22,10,0.3693,
116,16,16,1.0,503.894,8062.302,236,48,32,0.2849,
117,11,11,1.0,705.57,7761.274,321,26,15,0.3969,
118,15,15,1.0,501.183,7517.742,263,27,12,0.3012,
119,12,12,1.0,607.688,7292.25,306,22,10,0.4331,
120,14,14,1.0,564.104,7897.453,282,30,16,0.3903,
121,10,10,1.0,754.684,7546.836,368,24,14,0.4965,
122,14,14,1.0,537.575,7526.056,270,33,19,0.3502,
123,10,10,1.0,793.326,7933.256,378,25,15,0.5436,
124,12,12,1.0,641.612,7699.339,333,23,11,0.3884,
125,11,11,1.0,640.442,7044.857,312,14,3,0.4932,
126,14,14,1.0,605.694,8479.721,299,53,39,0.355,
127,10,10,1.0,747.433,7474.331,358,18,8,0.5782,
128,16,16,1.0,505.306,8084.894,246,31,15,0.249,
129,14,14,1.0,516.228,7227.185,278,18,4,0.3657,
130,14,14,1.0,617.819,8649.464,317,42,28,0.4526,
131,12,12,1.0,640.437,7685.242,364,21,9,0.4279,
132,13,13,1.0,573.538,7455.988,305,29,16,0.3353,
133,13,13,1.0,605.535,7871.953,292,33,20,0.3617,
134,13,13,1.0,569.749,7406.731,295,29,16,0.3423,
135,15,15,1.0,520.988,7814.82,295,34,19,0.3183,
136,14,14,1.0,573.676,8031.464,305,40,26,0.3656,
137,10,10,1.0,716.494,7164.939,360,14,4,0.5095,
138,11,11,1.0,736.316,8099.479,394,11,0,0.548,
139,10,10,1.0,770.239,7702.392,330,22,12,0.5763,
140,16,16,1.0,493.406,7894.501,235,34,18,0.3146,
141,14,14,1.0,586.431,8210.031,263,32,18,0.3428,
142,14,14,1.0,536.012,7504.175,289,33,19,0.335,
143,11,11,1.0,704.766,7752.43,347,23,12,0.4453,
144,13,13,1.0,612.659,7964.564,310,31,18,0.4062,
145,16,16,1.0,518.756,8300.094,270,20,4,0.2424,
146,11,11,1.0,697.319,7670.512,355,23,12,0.4487,
147,14,14,1.0,522.926,7320.967,265,17,3,0.3063,
148,13,13,1.0,566.491,7364.387,296,25,12,0.3726,
149,10,10,1.0,729.586,7295.857,344,14,4,0.4815,
150,16,16,1.0,467.108,7473.722,272,30,14,0.2661,
151,15,15,1.0,570.729,8560.934,292,44,29,0.4031,
152,16,16,1.0,495.422,7926.752,257,25,9,0.2821,
153,13,13,1.0,605.73,7874.485,322,19,6,0.408,
154,11,11,1.0,667.794,7345.739,346,19,8,0.4593,
155,14,14,1.0,548.26,7675.647,314,33,19,0.3509,
156,13,13,1.0,609.567,7924.377,347,39,26,0.411,
157,14,14,1.0,607.987,8511.813,290,41,27,0.3812,
158,15,15,1.0,510.377,7655.653,294,30,15,0.3154,
159,13,13,1.0,590.402,7675.229,286,26,13,0.3552,
160,10,10,1.0,772.283,7722.826,372,12,2,0.4549,
161,14,14,1.0,537.038,7518.536,265,23,9,0.3292,
162,10,10,1.0,763.635,7636.346,357,23,13,0.5327,
163,14,14,1.0,523.918,7334.852,281,21,7,0.5453,
164,10,10,1.0,751.526,7515.265,372,20,10,0.6712,
165,10,10,1.0,745.558,7455.579,322,24,14,0.4052,
166,11,11,1.0,681.224,7493.464,321,19,8,0.4439,
167,11,11,1.0,680.854,7489.395,336,26,15,0.5168,
168,15,15,1.0,521.338,7820.069,314,29,14,0.2747,
169,12,12,1.0,677.591,8131.096,313,32,20,0.3977,
170,16,16,1.0,540.014,8640.231,276,50,34,0.2295,
171,16,16,1.0,507.058,8112.929,253,27,11,0.2196,
172,12,12,1.0,648.204,7778.45,294,19,7,0.5152,
173,12,12,1.0,624.303,7491.635,291,27,15,0.5141,
174,16,16,1.0,479.246,7667.934,245,25,9,0.3432,
175,13,13,1.0,584.239,7595.101,295,40,27,0.339,
176,10,10,1.0,830.943,8309.432,377,34,24,0.3541,
