seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,675.961,7435.575,353,31,20,0.2136,
2,16,16,1.0,434.113,6945.809,246,27,11,0.1459,
3,11,11,1.0,588.557,6474.131,335,12,1,0.2356,
4,11,11,1.0,614.591,6760.496,326,11,0,0.2023,
5,14,14,1.0,566.386,7929.41,290,34,20,0.1907,
6,16,16,1.0,465.403,7446.449,248,35,19,0.1428,
7,12,12,1.0,572.142,6865.707,298,28,16,0.1927,
8,11,11,1.0,675.4,7429.395,313,23,12,0.2092,
9,13,13,1.0,584.028,7592.367,303,29,16,0.1815,
10,14,14,1.0,508.63,7120.819,295,27,13,0.1631,
11,13,13,1.0,548.82,7134.658,261,24,11,0.169,
12,13,13,1.0,508.121,6605.574,260,21,8,0.1709,
13,12,12,1.0,618.114,7417.363,332,21,9,0.1991,
14,10,10,1.0,658.204,6582.036,360,15,5,0.2564,
15,11,11,1.0,663.009,7293.102,311,17,6,0.2176,
16,12,12,1.0,614.684,7376.213,318,26,14,0.1713,
17,14,14,1.0,480.655,6729.176,291,21,7,0.1774,
18,11,11,1.0,666.711,7333.82,330,17,6,0.2158,
19,15,15,1.0,484.843,7272.642,278,24,9,0.1497,
20,15,15,1.0,463.687,6955.31,270,31,16,0.1403,
21,11,11,1.0,662.365,7286.016,328,24,13,0.2124,
22,11,11,1.0,646.904,7115.943,331,21,10,0.1998,
23,16,16,1.0,422.412,6758.59,234,24,8,0.11,
24,15,15,1.0,479.599,7193.98,282,29,14,0.1463,
25,13,13,1.0,550.336,7154.366,316,28,15,0.1725,
26,15,15,1.0,492.173,7382.597,267,31,16,0.147,
27,15,15,1.0,478.853,7182.798,282,24,9,0.2041,
28,10,10,1.0,736.869,7368.687,362,17,7,0.2353,
29,14,14,1.0,489.917,6858.84,296,31,17,0.1638,
30,14,14,1.0,492.539,6895.542,260,22,8,0.1571,
31,10,10,1.0,702.272,7022.723,352,29,19,0.2958,
32,10,10,1.0,692.869,6928.694,353,24,14,0.2266,
33,14,14,1.0,514.532,7203.453,241,26,12,0.1837,
34,14,14,1.0,504.852,7067.921,283,22,8,0.1499,
35,14,14,1.0,512.282,7171.945,284,25,11,0.1451,
36,12,12,1.0,559.207,6710.485,312,17,5,0.1873,
37,15,15,1.0,452.394,6785.917,224,17,2,0.142,
