seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
10001,12,12,1.0,572.593,6871.116,339,21,9,0.4632,
10002,13,13,1.0,591.472,7689.135,297,23,10,0.4563,
10003,16,16,1.0,445.33,7125.276,308,23,7,0.3156,
10004,14,14,1.0,494.291,6920.074,309,16,2,0.4459,
10005,16,16,1.0,458.502,7336.027,262,39,23,0.3483,
10006,11,11,1.0,659.854,7258.399,350,16,5,0.4422,
10007,12,12,1.0,586.396,7036.755,314,20,8,0.4864,
10008,11,11,1.0,694.161,7635.77,325,17,6,0.6121,
10009,12,12,1.0,568.223,6818.677,301,14,2,0.445,
10010,14,14,1.0,491.189,6876.652,285,16,2,0.3985,
10011,11,11,1.0,713.036,7843.391,375,27,16,0.6403,
10012,13,13,1.0,526.112,6839.451,283,17,4,0.511,
10013,12,12,1.0,586.947,7043.36,333,23,11,0.359,
10014,13,13,1.0,557.314,7245.083,283,13,0,0.4882,
10015,11,11,1.0,648.002,7128.023,345,16,5,0.5176,
10016,13,13,1.0,529.729,6886.479,333,21,8,0.5067,
10017,14,14,1.0,500.87,7012.184,300,15,1,0.4494,
10018,14,14,1.0,483.397,6767.564,322,20,6,0.5647,
10019,13,13,1.0,524.588,6819.643,310,15,2,0.5104,
10020,15,15,1.0,455.596,6833.945,269,33,18,0.3957,
10021,14,14,1.0,516.896,7236.551,305,15,1,0.3795,
10022,15,15,1.0,485.228,7278.414,237,25,10,0.324,
10023,15,15,1.0,480.913,7213.697,249,18,3,0.3348,
10024,11,11,1.0,633.596,6969.557,327,17,6,0.4522,
10025,13,13,1.0,544.408,7077.309,313,32,19,0.4123,
10026,14,14,1.0,525.268,7353.753,271,21,7,0.3901,
10027,11,11,1.0,712.883,7841.711,356,28,17,0.4486,
10028,12,12,1.0,623.927,7487.119,317,22,10,0.4224,
10029,11,11,1.0,690.949,7600.441,357,24,13,0.4446,
10030,14,14,1.0,487.034,6818.48,285,21,7,0.4465,
10031,12,12,1.0,489.951,5879.411,270,15,3,0.5183,
10032,10,10,1.0,679.033,6790.334,363,20,10,0.5692,
10033,14,14,1.0,471.483,6600.768,299,23,9,0.4317,
10034,14,14,1.0,506.93,7097.025,281,17,3,0.3457,
10035,16,16,1.0,456.833,7309.326,249,25,9,0.2897,
10036,12,12,1.0,649.681,7796.171,311,20,8,0.3691,
10037,11,11,1.0,635.384,6989.225,349,19,8,0.4916,
10038,10,10,1.0,693.284,6932.845,384,14,4,0.4672,
10039,11,11,1.0,667.448,7341.932,352,17,6,0.4306,
10040,15,15,1.0,486.411,7296.166,301,33,18,0.5176,
10041,13,13,1.0,519.016,6747.207,270,17,4,0.4628,
10042,12,12,1.0,630.634,7567.614,364,34,22,0.3839,
10043,10,10,1.0,652.544,6525.443,332,12,2,0.4414,
10044,11,11,1.0,645.644,7102.082,313,13,2,0.5039,
10045,12,12,1.0,602.301,7227.609,313,19,7,0.444,
10046,12,12,1.0,562.887,6754.647,338,13,1,0.4348,
10047,13,13,1.0,534.15,6943.954,319,16,3,0.4502,
10048,15,15,1.0,449.627,6744.406,273,26,11,0.3526,
10049,10,10,1.0,683.767,6837.665,353,10,0,0.4666,
10050,11,11,1.0,633.662,6970.277,318,12,1,0.4492,
10051,12,12,1.0,643.857,7726.282,340,26,14,0.4176,
10052,13,13,1.0,535.695,6964.032,307,25,12,0.4058,
10053,13,13,1.0,549.193,7139.513,348,22,9,0.3795,
10054,15,15,1.0,473.271,7099.071,299,17,2,0.3195,
10055,14,14,1.0,490.491,6866.878,293,26,12,0.3613,
10056,10,10,1.0,696.459,6964.588,337,19,9,0.5336,
10057,10,10,1.0,701.51,7015.103,352,15,5,0.4541,
