seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,651.129,7162.423,315,20,9,0.2316,
2,16,16,1.0,437.983,7007.735,265,27,11,0.1617,
3,11,11,1.0,589.562,6485.184,332,12,1,0.2368,
4,11,11,1.0,608.456,6693.014,327,11,0,0.2216,
5,14,14,1.0,534.718,7486.055,290,29,15,0.1926,
6,16,16,1.0,434.515,6952.247,257,22,6,0.1364,
7,12,12,1.0,562.316,6747.794,297,25,13,0.1938,
8,11,11,1.0,648.667,7135.334,318,21,10,0.2358,
9,13,13,1.0,575.142,7476.843,297,25,12,0.1709,
10,14,14,1.0,508.357,7116.997,303,27,13,0.182,
11,13,13,1.0,528.634,6872.245,281,17,4,0.1849,
12,13,13,1.0,504.308,6556.004,276,13,0,0.1799,
13,12,12,1.0,599.379,7192.546,333,21,9,0.2309,
14,10,10,1.0,655.466,6554.657,373,15,5,0.2794,
15,11,11,1.0,648.623,7134.852,311,13,2,0.2188,
16,12,12,1.0,677.613,8131.352,347,23,11,0.2093,
17,14,14,1.0,493.8,6913.199,277,16,2,0.185,
18,11,11,1.0,640.562,7046.179,327,15,4,0.2219,
19,15,15,1.0,477.203,7158.044,251,22,7,0.1833,
20,15,15,1.0,466.786,7001.787,281,25,10,0.1548,
21,11,11,1.0,643.581,7079.393,337,15,4,0.2303,
22,11,11,1.0,655.672,7212.396,325,20,9,0.2261,
23,16,16,1.0,407.442,6519.077,244,20,4,0.1364,
24,15,15,1.0,463.261,6948.91,276,28,13,0.1582,
25,13,13,1.0,532.329,6920.282,324,17,4,0.193,
26,15,15,1.0,485.395,7280.927,287,29,14,0.2014,
27,15,15,1.0,470.942,7064.126,292,23,8,0.1977,
28,10,10,1.0,739.559,7395.591,368,11,1,0.255,
29,14,14,1.0,483.543,6769.605,288,31,17,0.1661,
30,14,14,1.0,487.002,6818.031,256,20,6,0.1805,
31,10,10,1.0,709.428,7094.278,347,23,13,0.2485,
32,10,10,1.0,679.219,6792.186,355,17,7,0.2573,
33,14,14,1.0,483.262,6765.664,265,20,6,0.1727,
34,14,14,1.0,498.494,6978.909,285,22,8,0.1584,
35,14,14,1.0,489.624,6854.73,279,25,11,0.1519,
