algorithm,n,全部源清除率,全清局占比,均值,标准差,中位数,p90,p99,最坏,平均measure,未计入局数
p3-baseline,2000,1.000000,1.000000,314.58,37.93,310.44,368.34,403.49,444.33,109.2,0
p3-v2,1000,1.000000,1.000000,366.91,38.97,363.58,422.16,451.93,481.45,133.5,0
p4-directional,500,0.999398,0.992000,648.37,92.82,640.50,780.84,854.94,907.25,298.0,0
p4-v2-receding,500,0.999321,0.992000,605.27,94.08,597.91,741.01,795.18,857.15,306.5,0
p4-v3-residual,500,0.999321,0.992000,605.29,94.11,597.91,741.16,795.18,857.15,306.5,0
p4-v4-ring1950,500,0.999454,0.994000,620.02,96.47,612.75,761.18,818.30,843.00,307.1,0
p4-v5-ring1930,500,0.999329,0.992000,613.00,94.78,606.96,750.99,809.25,835.17,306.1,0
p4-v6-policy,500,0.999378,0.992000,579.02,95.30,573.55,718.93,772.70,933.86,307.3,0
p4-v7-stationgate,500,1.000000,1.000000,569.92,95.19,562.09,709.59,764.50,883.69,311.0,0
p4-v8-geoorder,2000,1.000000,1.000000,567.58,93.45,554.16,703.77,768.29,883.69,309.7,0
